epoch,accuracy,loss,val_accuracy,val_loss
0,0.5077890157699585,1.350740671157837,0.511900007724762,1.3291218280792236
1,0.523804247379303,1.3063664436340332,0.5177000164985657,1.3175057172775269
2,0.5284778475761414,1.2939726114273071,0.5248000025749207,1.31251859664917
3,0.5312221050262451,1.2866603136062622,0.5187000036239624,1.3056007623672485
4,0.5331943035125732,1.2817405462265015,0.5224000215530396,1.3089048862457275
5,0.5348213911056519,1.2780555486679077,0.5212000012397766,1.3060892820358276
6,0.5355601906776428,1.2753183841705322,0.5231000185012817,1.309078574180603
7,0.5366905331611633,1.2733432054519653,0.5230000019073486,1.306912899017334
8,0.5371671915054321,1.271382451057434,0.5230000019073486,1.3112289905548096
9,0.5381501913070679,1.2696949243545532,0.5202000141143799,1.3101937770843506
10,0.5384531617164612,1.2685993909835815,0.5206000208854675,1.314113974571228
11,0.5388018488883972,1.2678685188293457,0.5223000049591064,1.311004638671875
12,0.5393144488334656,1.2666629552841187,0.5223000049591064,1.3138537406921387
13,0.5396015048027039,1.2660249471664429,0.5194000005722046,1.321177363395691
14,0.5398920774459839,1.2654566764831543,0.51910001039505,1.3146045207977295
15,0.540316104888916,1.2646536827087402,0.5224000215530396,1.3243359327316284
16,0.5405796766281128,1.2639769315719604,0.5242000222206116,1.3155876398086548
17,0.5409027338027954,1.2635910511016846,0.5206999778747559,1.3195754289627075
18,0.5409878492355347,1.2634168863296509,0.5184999704360962,1.3233439922332764
19,0.5412728190422058,1.2627087831497192,0.5185999870300293,1.3279740810394287
20,0.5413696765899658,1.2626725435256958,0.5202000141143799,1.3206027746200562
21,0.5416387915611267,1.2616970539093018,0.5185999870300293,1.321338176727295
22,0.541785478591919,1.2619800567626953,0.5199999809265137,1.319765567779541
23,0.5417494773864746,1.26119863986969,0.5167999863624573,1.3243708610534668
24,0.5420462489128113,1.2611428499221802,0.5184999704360962,1.3288804292678833
